MAC,Quality,RSSI,Distance,SSID
AC:3A:67:07:F9:21,90.0,-55.0,1.7782794100389228,eduroam
5C:A6:2D:CF:C1:80,84.0,-58.0,2.51188643150958,
5C:A6:2D:86:6C:A2,81.0,-59.5,2.9853826189179595,MeetInLeeds
5C:A6:2D:86:6C:A0,75.0,-62.5,4.216965034285822,
5C:A6:2D:CF:C1:82,62.0,-69.0,8.912509381337454,MeetInLeeds
AC:3A:67:08:29:A0,60.0,-70.0,10.0,
5C:A6:2D:5D:2B:40,57.0,-71.5,11.885022274370183,
AC:3A:67:08:29:A1,57.0,-71.5,11.885022274370183,eduroam
5C:A6:2D:AF:93:40,54.0,-73.0,14.12537544622754,
5C:A6:2D:AF:94:40,54.0,-73.0,14.12537544622754,
5C:A6:2D:5D:2B:42,54.0,-73.0,14.12537544622754,MeetInLeeds
5C:A6:2D:AF:94:41,54.0,-73.0,14.12537544622754,eduroam
5C:A6:2D:AF:94:42,54.0,-73.0,14.12537544622754,MeetInLeeds
5C:A6:2D:CE:C1:E1,54.0,-73.0,14.12537544622754,eduroam
5C:A6:2D:CE:C1:E2,54.0,-73.0,14.12537544622754,MeetInLeeds
5C:A6:2D:CF:C1:81,53.0,-73.5,14.962356560944336,eduroam
5C:A6:2D:AF:93:41,51.0,-74.5,16.788040181225607,eduroam
5C:A6:2D:5D:2B:41,51.0,-74.5,16.788040181225607,eduroam
5C:A6:2D:CF:B4:A0,51.0,-74.5,16.788040181225607,
AC:3A:67:08:04:01,48.0,-76.0,19.952623149688797,eduroam
5C:A6:2D:86:69:C1,45.0,-77.5,23.71373705661655,eduroam
5C:A6:2D:5D:2E:20,45.0,-77.5,23.71373705661655,
5C:A6:2D:5D:2E:21,45.0,-77.5,23.71373705661655,eduroam
AC:3A:67:08:29:02,45.0,-77.5,23.71373705661655,MeetInLeeds
AC:3A:67:08:29:01,43.0,-78.5,26.6072505979881,eduroam
5C:A6:2D:5D:2E:01,42.0,-79.0,28.183829312644534,eduroam
5C:A6:2D:5D:AB:61,42.0,-79.0,28.183829312644534,eduroam
5C:A6:2D:5D:AB:62,42.0,-79.0,28.183829312644534,MeetInLeeds
5C:A6:2D:5D:2E:2E,42.0,-79.0,28.183829312644534,eduroam
5C:A6:2D:5D:2E:02,39.0,-80.5,33.49654391578276,MeetInLeeds
AC:3A:67:08:04:00,39.0,-80.5,33.49654391578276,
AC:3A:67:08:04:02,39.0,-80.5,33.49654391578276,MeetInLeeds
5C:A6:2D:AF:94:4D,39.0,-80.5,33.49654391578276,MeetInLeeds
5C:A6:2D:5D:2E:2F,39.0,-80.5,33.49654391578276,
5C:A6:2D:AF:93:42,37.0,-81.5,37.583740428844415,MeetInLeeds
5C:A6:2D:86:6C:A1,37.0,-81.5,37.583740428844415,eduroam
AC:3A:67:07:F9:22,37.0,-81.5,37.583740428844415,MeetInLeeds
5C:A6:2D:CF:BF:C1,37.0,-81.5,37.583740428844415,eduroam
AC:3A:67:08:01:81,36.0,-82.0,39.810717055349734,eduroam
5C:A6:2D:86:6C:42,36.0,-82.0,39.810717055349734,MeetInLeeds
5C:A6:2D:86:6C:40,33.0,-83.5,47.315125896148054,
5C:A6:2D:70:7B:41,33.0,-83.5,47.315125896148054,eduroam
5C:A6:2D:CE:AB:CD,33.0,-83.5,47.315125896148054,MeetInLeeds
5C:A6:2D:CF:B4:A1,32.0,-84.0,50.11872336272722,eduroam
AC:3A:67:08:29:A2,31.0,-84.5,53.08844442309885,MeetInLeeds
5C:A6:2D:AF:93:4E,31.0,-84.5,53.08844442309885,eduroam
5C:A6:2D:CF:E5:A2,30.0,-85.0,56.23413251903491,MeetInLeeds
5C:A6:2D:EF:4A:A1,30.0,-85.0,56.23413251903491,eduroam
AC:3A:67:08:0B:41,30.0,-85.0,56.23413251903491,eduroam
5C:A6:2D:CF:DF:62,30.0,-85.0,56.23413251903491,MeetInLeeds
5C:A6:2D:5D:2E:2D,29.0,-85.5,59.566214352901035,MeetInLeeds
5C:A6:2D:AF:93:4D,29.0,-85.5,59.566214352901035,MeetInLeeds
5C:A6:2D:86:69:C2,28.0,-86.0,63.09573444801933,MeetInLeeds
5C:A6:2D:CF:E5:A1,27.0,-86.5,66.83439175686145,eduroam
5C:A6:2D:CF:E5:A0,27.0,-86.5,66.83439175686145,
5C:A6:2D:CF:B0:A2,27.0,-86.5,66.83439175686145,MeetInLeeds
5C:A6:2D:EF:4C:42,27.0,-86.5,66.83439175686145,MeetInLeeds
5C:A6:2D:CF:C4:E0,27.0,-86.5,66.83439175686145,
5C:A6:2D:CF:C5:E1,27.0,-86.5,66.83439175686145,eduroam
5C:A6:2D:86:69:CE,27.0,-86.5,66.83439175686145,eduroam
5C:A6:2D:5D:2E:0E,26.0,-87.0,70.79457843841381,eduroam
5C:A6:2D:CF:B4:A2,24.0,-88.0,79.43282347242814,MeetInLeeds
5C:A6:2D:CF:BF:C2,24.0,-88.0,79.43282347242814,MeetInLeeds
5C:A6:2D:86:6C:41,24.0,-88.0,79.43282347242814,eduroam
5C:A6:2D:CF:C4:E1,24.0,-88.0,79.43282347242814,eduroam
5C:A6:2D:CF:DF:61,24.0,-88.0,79.43282347242814,eduroam
5C:A6:2D:70:7B:42,24.0,-88.0,79.43282347242814,MeetInLeeds
5C:A6:2D:5D:2B:80,24.0,-88.0,79.43282347242814,
5C:A6:2D:5D:2B:81,24.0,-88.0,79.43282347242814,eduroam
5C:A6:2D:CF:B0:AE,24.0,-88.0,79.43282347242814,eduroam
5C:A6:2D:CF:B0:AD,24.0,-88.0,79.43282347242814,MeetInLeeds
5C:A6:2D:86:69:CF,24.0,-88.0,79.43282347242814,
5C:A6:2D:86:69:CD,24.0,-88.0,79.43282347242814,MeetInLeeds
5C:A6:2D:AF:91:C2,21.0,-89.5,94.40608762859236,MeetInLeeds
5C:A6:2D:CF:C4:E2,21.0,-89.5,94.40608762859236,MeetInLeeds
5C:A6:2D:AF:93:4F,21.0,-89.5,94.40608762859236,
5C:A6:2D:AF:92:41,15.0,-92.5,133.3521432163324,eduroam
